"date_time","temp","rH","year","month","day","season"
2004-11-01 00:00:00,-13.71,37.9,2004,11,1,"2004/5"
2004-11-01 00:15:00,-13.93,39.8,2004,11,1,"2004/5"
2004-11-01 00:30:00,-13.99,40.7,2004,11,1,"2004/5"
2004-11-01 00:45:00,-13.87,41.3,2004,11,1,"2004/5"
2004-11-01 01:00:00,-13.64,40.8,2004,11,1,"2004/5"
2004-11-01 01:15:00,-13.56,40.9,2004,11,1,"2004/5"
2004-11-01 01:30:00,-13.4,39.3,2004,11,1,"2004/5"
2004-11-01 01:45:00,-13.56,41.8,2004,11,1,"2004/5"
2004-11-01 02:00:00,-13.46,42.6,2004,11,1,"2004/5"
2004-11-01 02:15:00,-13.53,42,2004,11,1,"2004/5"
2004-11-01 02:30:00,-13.23,40.6,2004,11,1,"2004/5"
2004-11-01 02:45:00,-13.15,42.9,2004,11,1,"2004/5"
2004-11-01 03:00:00,-13.11,45.8,2004,11,1,"2004/5"
2004-11-01 03:15:00,-13.2,48.6,2004,11,1,"2004/5"
2004-11-01 03:30:00,-13.3,49.8,2004,11,1,"2004/5"
2004-11-01 03:45:00,-12.92,48.6,2004,11,1,"2004/5"
2004-11-01 04:00:00,-12.65,44.6,2004,11,1,"2004/5"
2004-11-01 04:15:00,-13.03,47.2,2004,11,1,"2004/5"
2004-11-01 04:30:00,-12.78,45.2,2004,11,1,"2004/5"
2004-11-01 04:45:00,-12.7,47,2004,11,1,"2004/5"
2004-11-01 05:00:00,-13.3,51.3,2004,11,1,"2004/5"
2004-11-01 05:15:00,-13.31,52.7,2004,11,1,"2004/5"
2004-11-01 05:30:00,-13.63,57.7,2004,11,1,"2004/5"
2004-11-01 05:45:00,-13.58,56.5,2004,11,1,"2004/5"
2004-11-01 06:00:00,-13.36,53.9,2004,11,1,"2004/5"
2004-11-01 06:15:00,-13.17,51.7,2004,11,1,"2004/5"
2004-11-01 06:30:00,-13.03,50.4,2004,11,1,"2004/5"
2004-11-01 06:45:00,-13.24,55.1,2004,11,1,"2004/5"
2004-11-01 07:00:00,-12.98,54.6,2004,11,1,"2004/5"
2004-11-01 07:15:00,-12.88,56,2004,11,1,"2004/5"
2004-11-01 07:30:00,-12.93,59.6,2004,11,1,"2004/5"
2004-11-01 07:45:00,-12.84,57.8,2004,11,1,"2004/5"
2004-11-01 08:00:00,-12.8,59.5,2004,11,1,"2004/5"
2004-11-01 08:15:00,-12.85,61.9,2004,11,1,"2004/5"
2004-11-01 08:30:00,-12.71,60.5,2004,11,1,"2004/5"
2004-11-01 08:45:00,-12.61,60.4,2004,11,1,"2004/5"
2004-11-01 09:00:00,-12.45,58.9,2004,11,1,"2004/5"
2004-11-01 09:15:00,-12.31,56.3,2004,11,1,"2004/5"
2004-11-01 09:30:00,-12.47,58.2,2004,11,1,"2004/5"
2004-11-01 09:45:00,-12.16,56.8,2004,11,1,"2004/5"
2004-11-01 10:00:00,-12.04,55.3,2004,11,1,"2004/5"
2004-11-01 10:15:00,-11.97,55.8,2004,11,1,"2004/5"
2004-11-01 10:30:00,-11.78,54.5,2004,11,1,"2004/5"
2004-11-01 10:45:00,-11.51,50.8,2004,11,1,"2004/5"
2004-11-01 11:00:00,-11.49,53.5,2004,11,1,"2004/5"
2004-11-01 11:15:00,-11.17,50.6,2004,11,1,"2004/5"
2004-11-01 11:30:00,-11.02,47.9,2004,11,1,"2004/5"
2004-11-01 11:45:00,-10.84,45.7,2004,11,1,"2004/5"
2004-11-01 12:00:00,-10.5,43.1,2004,11,1,"2004/5"
2004-11-01 12:15:00,-10.33,40.7,2004,11,1,"2004/5"
2004-11-01 12:30:00,-9.93,39.9,2004,11,1,"2004/5"
