Year,month,day,time,Temp,rH,VPD
2011,11,20,300,-5.2,73.5,0.109816076
2011,11,20,600,-4.8,73,0.115348997
2011,11,20,900,-6.4,75,0.09449117
2011,11,20,1200,-8.6,87.7,0.039171994
2011,11,20,1500,-7.1,74,0.093092422
2011,11,20,1800,-9.1,79.4,0.063071085
2011,11,20,2100,-7.6,73,0.092987116
2011,11,21,0,-5.7,64,0.143588577
2011,11,21,300,-4.5,60,0.174824508
2011,11,21,600,-5.8,70.5,0.11676432
2011,11,21,900,-5.9,69,0.12176365
2011,11,21,1200,-8,84,0.053409644
2011,11,21,1500,-9.5,84.9,0.044791873
2011,11,21,1800,-9.1,85,0.045925548
2011,11,21,2100,-7.8,81.2,0.06374457
2011,11,22,0,-6.5,72,0.105016973
2011,11,22,300,-5.9,68.8,0.122549222
2011,11,22,600,-5.4,61.8,0.155901774
2011,11,22,900,-6.1,70.5,0.114105051
2011,11,22,1200,-8.4,83,0.054997287
2011,11,22,1500,-10.6,89,0.029893324
2011,11,22,1800,-10.6,87,0.035328474
2011,11,22,2100,-7.6,64,0.123982822
2011,11,23,0,-5.9,62.8,0.14611638
2011,11,23,300,-5,42.8,0.240678255
2011,11,23,600,-4.4,61,0.171750738
2011,11,23,900,-5.7,71,0.115668576
2011,11,23,1200,-8.2,83,0.055866436
2011,11,23,1500,-8,58.8,0.137529834
2011,11,23,1800,-9,78,0.067891177
2011,11,23,2100,-6.5,74.8,0.094515275
2011,11,24,0,-5.4,61,0.159166733
2011,11,24,300,-4.4,64,0.158539143
2011,11,24,600,-3.2,68,0.154263025
2011,11,24,900,-4.2,81.5,0.082714283
2011,11,24,1200,-6.1,83,0.065755453
2011,11,24,1500,-6.2,76,0.092119835
2011,11,24,1800,-5.6,74.4,0.102892495
2011,11,24,2100,-4.8,76,0.102532442
2011,11,25,0,-4.2,89.8,0.045604632
2011,11,25,300,-4.2,86,0.062594592
2011,11,25,600,-4.5,90.7,0.040646698
2011,11,25,900,-4.4,82,0.079269571
2011,11,25,1200,-5.5,90,0.040501132
2011,11,25,1500,-5.8,91,0.035623013
2011,11,25,1800,-4,45,0.249651868
2011,11,25,2100,-4.2,67.3,0.146203084
2011,11,26,0,-3.7,51.1,0.22704119
2011,11,26,300,-2.8,58,0.208623505
2011,11,26,600,-0.4,34.9,0.386165122
2011,11,26,900,-2.4,57.4,0.218012176
2011,11,26,1200,-6.1,57,0.166322617
2011,11,26,1500,-4.4,50,0.220193254
2011,11,26,1800,-7.5,67,0.114539506
2011,11,26,2100,0.3,32.9,0.418888532
2011,11,27,0,-1.6,47.6,0.284566083
2011,11,27,300,-2.8,64.6,0.175839811
2011,11,27,600,-3.4,63.8,0.171910535
2011,11,27,900,-3,47.7,0.255929424
2011,11,27,1200,-4.5,44,0.244754311
2011,11,27,1500,-2.4,39,0.31217706
2011,11,27,1800,-2.8,38,0.307968031
2011,11,27,2100,-2.2,40,0.311662282
2011,11,28,0,-1.3,46.3,0.298159211
2011,11,28,300,-1.1,40,0.338085204
2011,11,28,600,-0.5,33,0.394536224
2011,11,28,900,-0.8,32,0.391710047
2011,11,28,1200,-0.9,31.2,0.393417203
2011,11,28,1500,-0.8,34.2,0.379037075
2011,11,28,1800,-0.5,34,0.388647623
2011,11,28,2100,0,42.5,0.3511985
2011,11,29,0,0.4,46,0.339568995
2011,11,29,300,0.6,54.6,0.289666779
2011,11,29,600,-0.1,47.4,0.318934449
2011,11,29,900,-1.2,63,0.206955765
2011,11,29,1200,-5.1,89,0.045932974
2011,11,29,1500,-6.1,87,0.050283582
2011,11,29,1800,-5.8,88.1,0.047101539
2011,11,29,2100,-3.8,73.7,0.121193641
2011,11,30,0,-3.6,75,0.116951199
2011,11,30,300,-3.1,75,0.121424581
2011,11,30,600,-3,81.9,0.088572133
2011,11,30,900,-3.3,77,0.110047997
2011,11,30,1200,-3.6,80,0.093560959
2011,11,30,1500,-3.8,83,0.078338095
2011,11,30,1800,-3.2,75.2,0.119553844
2011,11,30,2100,-3,75.5,0.119890457
2011,12,1,0,-2.3,71.4,0.147458394
2011,12,1,100,-2.6,70,0.151258364
2011,12,1,200,-2.5,70,0.152390291
2011,12,1,300,-2.7,67,0.165147265
2011,12,1,400,-2.6,72.3,0.139661889
2011,12,1,500,-2.7,77.4,0.113100854
2011,12,1,600,-2.9,76.8,0.114381458
2011,12,1,700,-3.1,84,0.077711732
2011,12,1,800,-3.5,82,0.084840499
2011,12,1,900,-3.4,77.8,0.105425798
2011,12,1,1000,-3.8,80,0.092162464
2011,12,1,1100,-4.1,86.1,0.06261908
2011,12,1,1200,-4,82,0.081704248
2011,12,1,1300,-4.2,81,0.084949804
2011,12,1,1400,-4.8,86.5,0.057674498
2011,12,1,1500,-4.4,81,0.083673437
2011,12,1,1600,-4.6,86.3,0.059424884
2011,12,1,1700,-4.8,87,0.055538406
2011,12,1,1800,-4.7,84,0.068876384
2011,12,1,1900,-4.3,82,0.079872141
2011,12,1,2000,-4.3,80,0.088746824
2011,12,1,2100,-4.3,80.8,0.085196951
2011,12,1,2200,-4.4,82,0.079269571
2011,12,1,2300,-4.2,82,0.080478762
2011,12,2,0,-4.6,83.8,0.070268841
2011,12,2,100,-4.5,82,0.078671029
2011,12,2,200,-4.5,81,0.083041641
2011,12,2,300,-4.5,81.3,0.081730458
2011,12,2,400,-4.4,80.7,0.084994596
2011,12,2,500,-4.3,78,0.097621506
2011,12,2,600,-4.5,80,0.087412254
2011,12,2,700,-4.5,83,0.074300416
2011,12,2,800,-5,91,0.037868956
2011,12,2,900,-5.2,92.8,0.029836821
2011,12,2,1000,-5.3,91,0.03701245
2011,12,2,1100,-5.5,92,0.032400906
2011,12,2,1200,-5.8,93,0.027706788
