Date,Time,Inside temp,Outside temp,ground temp,inside humidity,Outside humidity,,,,,,,,,,,
25/11/2018,22:47:18,1.4,-3.4,0,61.4,1,,,,,,,,,,,
25/11/2018,22:57:18,0.8,-3.7,-0.13,60,1,,,,,,,,,,,
25/11/2018,23:07:18,1.9,-3.8,-0.19,56.8,1,,,,,,,,,,,
25/11/2018,23:17:18,0.7,-4.3,-0.31,58.9,1,,,,,,,,,,,
25/11/2018,23:27:18,0.3,-4.4,-0.37,62.7,1,,,,,,,,,,,
25/11/2018,23:37:18,0.7,-4.6,-0.37,61.7,1,,,,,,,,,,,
25/11/2018,23:47:18,-0.1,-4.6,-0.31,63.3,1,,,,,,,,,,,
25/11/2018,23:57:18,0.5,-4.7,-0.31,63.6,1,,,,,,,,,,,
26/11/2018,00:07:18,0.4,-4.3,-0.31,65.7,1,,,,,,,,,,,
26/11/2018,00:17:18,1.5,-3.5,-0.31,63.2,1,,,,,,,,,,,
26/11/2018,00:27:18,1.2,-4,-0.31,63.3,1,,,,,,,,,,,
26/11/2018,00:37:18,0.9,-3.6,-0.25,67,1,,,,,,,,,,,
26/11/2018,00:47:18,1.9,-3.2,-0.25,61.9,1,,,,,,,,,,,
26/11/2018,00:57:18,1.4,-3.2,-0.25,61.6,1,,,,,,,,,,,
26/11/2018,01:07:18,1.8,-3.3,-0.25,60.1,1,,,,,,,,,,,
26/11/2018,01:17:18,1.8,-3.2,-0.25,62.7,1,,,,,,,,,,,
26/11/2018,01:27:18,1.3,-3.3,-0.31,62.3,1,,,,,,,,,,,
26/11/2018,01:37:18,1.6,-3.3,-0.25,60.6,1,,,,,,,,,,,
26/11/2018,01:47:18,0.8,-3.6,-0.31,63.1,1,,,,,,,,,,,
26/11/2018,01:57:18,1.3,-3.7,-0.25,61.2,1,,,,,,,,,,,
26/11/2018,02:07:18,0.8,-3.7,-0.31,62.9,1,,,,,,,,,,,
26/11/2018,02:17:18,1.3,-3.8,-0.25,61.2,1,,,,,,,,,,,
26/11/2018,02:27:18,0.9,-3.8,-0.25,63.1,1,,,,,,,,,,,
26/11/2018,02:37:18,1,-3.9,-0.25,62.2,1,,,,,,,,,,,
26/11/2018,02:47:18,1.2,-3.7,-0.25,63,1,,,,,,,,,,,
26/11/2018,02:57:18,0.9,-3.8,-0.25,62.7,1,,,,,,,,,,,
26/11/2018,03:07:18,1.5,-3.9,-0.25,65.4,1,,,,,,,,,,,
26/11/2018,03:17:18,1.9,-3.8,-0.25,60.8,1,,,,,,,,,,,
26/11/2018,03:27:18,0.2,-4,-0.25,61.9,1,,,,,,,,,,,
26/11/2018,03:37:18,1.5,-4.1,-0.25,60.5,1,,,,,,,,,,,
26/11/2018,03:47:18,0.8,-4.3,-0.31,59.7,1,,,,,,,,,,,
26/11/2018,03:57:18,0.3,-4.5,-0.25,63.6,1,,,,,,,,,,,
26/11/2018,04:07:18,0.6,-4.4,-0.25,60.9,1,,,,,,,,,,,
