temp,sample,np_DW,np_Chl,treatment_type,type
2,T1,-0.5379733228,-0.8687834859,treatment,DR
2,T2,-0.1610639597,-0.3287341611,treatment,DR
2,T3,-0.629762374,-1.439483177,treatment,DR
2,T1,2.093907962,3.381492318,treatment,NP
2,T2,1.598124511,3.261798117,treatment,NP
2,T3,3.511545774,8.026537112,treatment,NP
5,T1,-0.7619221572,-1.230442774,treatment,DR
5,T2,-0.3622203243,-0.7392975727,treatment,DR
5,T3,-0.70278743,-1.606400643,treatment,DR
5,T4,-0.1004653474,-0.1701478806,treatment,DR
5,T5,-0.3651634103,-0.7620271501,treatment,DR
5,T6,-0.07212744079,-0.1263142202,treatment,DR
5,T1,1.456727628,2.352497518,treatment,NP
5,T2,1.533322464,3.129536085,treatment,NP
5,T3,3.491608054,7.980964347,treatment,NP
5,T4,0.6946255126,1.176416165,treatment,NP
5,T5,0.2765129502,0.5770303636,treatment,NP
5,T6,0.3112452787,0.5450727802,treatment,NP
10,T1,-1.812165837,-2.92650153,treatment,DR
10,T2,-0.8868351122,-1.810044887,treatment,DR
10,T3,-1.721953247,-3.935965109,treatment,DR
10,T4,-0.2368933208,-0.4012019815,treatment,DR
10,T5,-3.011931226,-6.285332274,treatment,DR
10,T6,-1.381072173,-2.418622549,treatment,DR
10,T1,1.097438035,1.77227383,treatment,NP
10,T2,0.6310058221,1.287893145,treatment,NP
10,T3,2.969543614,6.787652377,treatment,NP
10,T4,0.9980903214,1.690363465,treatment,NP
10,T5,4.432022241,9.248794326,treatment,NP
10,T6,4.937761847,8.647326602,treatment,NP
15,T1,-2.55532682,-4.126646523,treatment,DR
15,T2,-1.049966369,-2.142998435,treatment,DR
15,T3,-2.821753262,-6.449839682,treatment,DR
15,T4,-0.3949326517,-0.6688570277,treatment,DR
15,T5,-5.622763972,-11.73364769,treatment,DR
15,T6,-2.659064217,-4.656724535,treatment,DR
15,T1,1.816518356,2.933530498,treatment,NP
15,T2,2.482898012,5.067635221,treatment,NP
15,T3,4.57265541,10.45197492,treatment,NP
15,T4,0.6870606289,1.163604296,treatment,NP
15,T5,1.995935038,4.165139895,treatment,NP
15,T6,3.772780492,6.607136214,treatment,NP
20,T1,-4.361836869,-7.044014413,treatment,DR
20,T2,-1.653746911,-3.37532434,treatment,DR
20,T3,-4.608763591,-10.53450941,treatment,DR
20,T4,-0.688792066,-1.166536654,treatment,DR
20,T5,-7.619949574,-15.90139728,treatment,DR
20,T6,-3.546764336,-6.211322162,treatment,DR
20,T1,-0.4055426841,-0.6549186954,treatment,NP
20,T2,2.191816332,4.473532779,treatment,NP
20,T3,1.386237786,3.168601452,treatment,NP
20,T4,0.8731266128,1.478725217,treatment,NP
20,T5,0.2221673277,0.4636213016,treatment,NP
20,T6,3.300964813,5.780862205,treatment,NP
25,T1,-4.92371324,-7.951399392,treatment,DR
25,T2,-2.770896151,-5.655444106,treatment,DR
25,T3,-6.272742275,-14.33795881,treatment,DR
25,T4,-0.7016675628,-1.188342565,treatment,DR
25,T5,-9.02361263,-18.83057728,treatment,DR
25,T6,-4.511658318,-7.901106656,treatment,DR
25,T1,-1.797248939,-2.902411945,treatment,NP
25,T2,-0.4864932173,-0.9929405683,treatment,NP
25,T3,1.027321567,2.348206519,treatment,NP
25,T4,0.2491695876,0.4219930387,treatment,NP
25,T5,0.2572187393,0.5367669852,treatment,NP
25,T6,3.452636248,6.046478993,treatment,NP
30,T1,-7.850207531,-12.67745142,treatment,DR
30,T2,-3.573784302,-7.294151881,treatment,DR
30,T3,-8.884832158,-20.30855915,treatment,DR
30,T1,-3.603542526,-5.819430266,treatment,NP
30,T2,0.05844098797,0.1192790069,treatment,NP
30,T3,-0.5352591115,-1.22347177,treatment,NP
2,C1,-0.2596340839,-0.6327954722,control,DR
2,C2,-0.1483651772,-0.3108647531,control,DR
2,C3,-0.5825681042,-1.384147024,control,DR
2,C1,1.231638211,3.001821148,control,NP
2,C2,0.4520224482,0.9471080031,control,NP
2,C3,2.073319787,4.926083993,control,NP
5,C1,-0.5151057506,-1.255446056,control,DR
5,C2,-0.3780401456,-0.7920952794,control,DR
5,C3,-0.9768374744,-2.320907501,control,DR
5,C4,-0.7757621607,-1.368281347,control,DR
5,C5,-0.02299931009,-0.05266579366,control,DR
5,C6,-0.9103828764,-2.146643393,control,DR
5,C1,1.250253655,3.047191802,control,NP
5,C2,0.3047920777,0.6386209738,control,NP
5,C3,1.370183998,3.255475349,control,NP
5,C4,1.859691174,3.28010423,control,NP
5,C5,0.1534386823,0.3513570604,control,NP
5,C6,1.0359663,2.442763667,control,NP
10,C1,-1.079438589,-2.630871269,control,DR
10,C2,-0.7930891609,-1.661734045,control,DR
10,C3,-1.777586759,-4.223439979,control,DR
10,C4,-0.9940032321,-1.753212711,control,DR
10,C5,-1.62294372,-3.716355783,control,DR
10,C6,-1.971179769,-4.647956521,control,DR
10,C1,1.402506488,3.418271368,control,NP
10,C2,0.04231442505,0.08866004503,control,NP
10,C3,1.009099906,2.397561111,control,NP
10,C4,3.095142033,5.45917979,control,NP
10,C5,0.9134771875,2.091758443,control,NP
10,C6,1.529779484,3.607153768,control,NP
15,C1,-1.706696998,-4.159662387,control,DR
15,C2,-1.367091891,-2.864423384,control,DR
15,C3,-2.474754727,-5.879869434,control,DR
15,C4,-2.069534921,-3.650224479,control,DR
15,C5,-3.188454579,-7.301196875,control,DR
15,C6,-3.449694225,-8.134229574,control,DR
15,C1,2.15039655,5.241073052,control,NP
15,C2,0.2919480817,0.6117093649,control,NP
15,C3,1.908619654,4.534766313,control,NP
15,C4,1.762741621,3.109105601,control,NP
15,C5,-1.716860158,-3.931413702,control,NP
15,C6,-1.468925833,-3.463663493,control,NP
20,C1,-2.915889028,-7.10677638,control,DR
20,C2,-2.500476331,-5.239167112,control,DR
20,C3,-5.474011845,-13.00592523,control,DR
20,C4,-3.020979889,-5.328373361,control,DR
20,C5,-4.380237965,-10.03024473,control,DR
20,C6,-4.489051224,-10.58498836,control,DR
20,C1,0.8741511091,2.130532539,control,NP
20,C2,-1.192221157,-2.498022396,control,NP
20,C3,-1.543702627,-3.667745248,control,NP
20,C4,1.816227127,3.203442789,control,NP
20,C5,-2.578404672,-5.904252255,control,NP
20,C6,-1.202087489,-2.834470235,control,NP
25,C1,-3.678284315,-8.964931051,control,DR
25,C2,-2.932036564,-6.143401299,control,DR
25,C3,-6.739260902,-16.01208142,control,DR
25,C4,-2.847606127,-5.022578497,control,DR
25,C5,-6.029906488,-13.80779726,control,DR
25,C6,-6.148469216,-14.49782411,control,DR
25,C1,0.03516768719,0.08571275733,control,NP
25,C2,-1.71749946,-3.598621021,control,NP
25,C3,-1.939879629,-4.609038146,control,NP
25,C4,-0.1980464133,-0.3493122336,control,NP
25,C5,-1.817476364,-4.161813324,control,NP
25,C6,-4.123091121,-9.722070289,control,NP
30,C1,-5.891176304,-14.35832166,control,DR
30,C2,-4.376661823,-9.170277839,control,DR
30,C3,-8.245897,-19.59175881,control,DR
30,C1,-1.048209803,-2.554758633,control,NP
30,C2,-2.860562478,-5.993643959,control,NP
30,C3,-2.377133346,-5.647926864,control,NP
