CO2_DR,CO2_NP,weight,treatment_type
-12.3,-4.4,16.48,control
-12.5,-3.6,16.39,control
-12.6,-3.9,16.3325,control
-12.6,-3.4,16.2874,control
-13.4,-3.6,16.2215,control
-13.1,-3.6,16.1727,control
-13.5,-3.9,16.1134,control
-13.6,-3.8,15.9219,control
-14.1,-3.7,15.8844,control
-15.2,-4.1,15.836,control
-14.6,-3.9,15.3946,control
-15.0,-3.8,15.3514,control
-14.4,-2.7,15.195,control
-15.0,-2.8,15.1572,control
-14.7,-2.9,15.0024,control
-13.9,-2.5,14.8833,control
-14.3,-2.5,14.7557,control
-13.7,-2.1,14.6596,control
-15.1,-2.1,14.5424,control
-13.3,-1.6,14.3506,control
-14.0,-1.4,14.1315,control
-14.4,-1.5,13.9441,control
-13.3,-1.1,13.7711,control
-12.9,-1.1,13.6089,control
-11.9,1.6,12.8084,control
-5.9,6.7,10.8021,control
-6.6,4.7,10.5568,control
-7.1,3.4,10.2956,control
-6.4,1.8,10.0366,control
-29.0,-12.4,17.7253,treatment
-30.1,-11.7,17.649,treatment
-27.9,-10.9,17.5192,treatment
-28.0,-10.7,17.4281,treatment
-28.7,-11.8,17.2698,treatment
-31.0,-12.7,17.2048,treatment
-32.3,-12.8,17.1496,treatment
-33.6,-13.3,17.0746,treatment
-31.6,-12.5,16.9806,treatment
-33.0,-11.7,16.8755,treatment
-30.0,-10.8,16.7047,treatment
-28.3,-9.4,16.4421,treatment
-30.3,-9.3,16.2575,treatment
-28.8,-9.0,16.0717,treatment
-26.3,-7.6,15.8567,treatment
-28.5,-6.3,15.669,treatment
-18.6,2.4,13.1344,treatment
-16.9,0.1,12.7396,treatment
-16.3,-1.8,12.3937,treatment
-14.7,-2.7,12.1219,treatment
