temp,avgDW,avgChl,treatment_type,type
2,-0.3301891218,-0.7759357497,control,DR
5,-0.5965212863,-1.322673228,control,DR
10,-1.373040205,-3.105595051,control,DR
15,-2.37603789,-5.331601022,control,DR
20,-3.79677438,-8.549245862,control,DR
25,-4.729260602,-10.74143561,control,DR
30,-6.171245042,-14.37345277,control,DR
2,-0.4429332188,-0.8790002746,treatment,DR
5,-0.3941143517,-0.7724383734,treatment,DR
10,-1.508475153,-2.962944722,treatment,DR
15,-2.517301215,-4.963118982,treatment,DR
20,-3.746642224,-7.372184042,treatment,DR
25,-4.70071503,-9.310804801,treatment,DR
30,-6.769607997,-13.42672081,treatment,DR
2,1.252326816,2.958337715,control,NP
5,0.9957209812,2.16925218,control,NP
10,1.332053254,2.843764088,control,NP
15,0.4879866526,1.016929522,control,NP
20,-0.6376729514,-1.595085801,control,NP
25,-1.626804217,-3.725857043,control,NP
30,-2.095301876,-4.732109819,control,NP
2,2.401192749,4.889942516,treatment,NP
5,1.294006981,2.626919543,treatment,NP
10,2.51097698,4.905717291,treatment,NP
15,2.554641323,5.06483684,treatment,NP
20,1.261461698,2.451737376,treatment,NP
25,0.4504339976,0.9096821704,treatment,NP
30,-1.360120216,-2.307874343,treatment,NP
